ev|ch,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,0,0,0,0,0,36,36,36,36,36,36,0,0,0,0,0
2,0,0,0,0,35,35,35,0,35,35,35,0,0,0,0,0
3,0,0,0,34,34,34,0,0,34,34,34,0,0,0,0,0
4,0,0,33,33,33,0,0,0,33,33,33,0,0,0,0,0
5,0,32,32,32,0,0,0,0,32,32,32,0,0,0,0,0
6,31,31,31,0,0,0,0,0,31,31,31,0,0,0,0,0
7,0,0,0,0,0,30,30,30,0,30,30,30,0,0,0,0
8,0,0,0,0,29,29,29,0,0,29,29,29,0,0,0,0
9,0,0,0,28,28,28,0,0,0,28,28,28,0,0,0,0
10,0,0,27,27,27,0,0,0,0,27,27,27,0,0,0,0
11,0,26,26,26,0,0,0,0,0,26,26,26,0,0,0,0
12,25,25,25,0,0,0,0,0,0,25,25,25,0,0,0,0
13,0,0,0,0,0,24,24,24,0,0,24,24,24,0,0,0
14,0,0,0,0,23,23,23,0,0,0,23,23,23,0,0,0
15,0,0,0,22,22,22,0,0,0,0,22,22,22,0,0,0
16,0,0,21,21,21,0,0,0,0,0,21,21,21,0,0,0
17,0,20,20,20,0,0,0,0,0,0,20,20,20,0,0,0
18,19,19,19,0,0,0,0,0,0,0,19,19,19,0,0,0
19,0,0,0,0,0,18,18,18,0,0,0,18,18,18,0,0
20,0,0,0,0,17,17,17,0,0,0,0,17,17,17,0,0
21,0,0,0,16,16,16,0,0,0,0,0,16,16,16,0,0
22,0,0,15,15,15,0,0,0,0,0,0,15,15,15,0,0
23,0,14,14,14,0,0,0,0,0,0,0,14,14,14,0,0
24,13,13,13,0,0,0,0,0,0,0,0,13,13,13,0,0
25,0,0,0,0,0,12,12,12,0,0,0,0,12,12,12,0
26,0,0,0,0,11,11,11,0,0,0,0,0,11,11,11,0
27,0,0,0,10,10,10,0,0,0,0,0,0,10,10,10,0
28,0,0,9,9,9,0,0,0,0,0,0,0,9,9,9,0
29,0,8,8,8,0,0,0,0,0,0,0,0,8,8,8,0
30,7,7,7,0,0,0,0,0,0,0,0,0,7,7,7,0
31,0,0,0,0,0,6,6,6,0,0,0,0,0,6,6,6
32,0,0,0,0,5,5,5,0,0,0,0,0,0,5,5,5
33,0,0,0,4,4,4,0,0,0,0,0,0,0,4,4,4
34,0,0,3,3,3,0,0,0,0,0,0,0,0,3,3,3
35,0,2,2,2,0,0,0,0,0,0,0,0,0,2,2,2
36,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1
